Team,Year,Wins,Losses,OT Losses,% Wins,GF,GA,+/-
Detroit Red Wings,1994,33,11,0,0.00688,180,117,63
Edmonton Oilers,1994,17,27,0,0.0035399999999999997,136,183,-47
Florida Panthers,1994,20,22,0,0.00417,115,127,-12
Hartford Whalers,1994,19,24,0,0.00396,127,141,-14
Los Angeles Kings,1994,16,23,0,0.00333,142,174,-32
Montreal Canadiens,1994,18,23,0,0.00375,125,148,-23
New Jersey Devils,1994,22,18,0,0.00458,136,121,15
New York Islanders,1994,15,28,0,0.00312,126,158,-32
New York Rangers,1994,22,23,0,0.00458,139,134,5
Ottawa Senators,1994,9,34,0,0.00188,117,174,-57
Philadelphia Flyers,1994,28,16,0,0.005829999999999999,150,132,18
Pittsburgh Penguins,1994,29,16,0,0.00604,181,158,23
Quebec Nordiques,1994,30,13,0,0.00625,185,134,51
San Jose Sharks,1994,19,25,0,0.00396,129,161,-32
St. Louis Blues,1994,28,15,0,0.005829999999999999,178,135,43
Tampa Bay Lightning,1994,17,28,0,0.0035399999999999997,120,144,-24
Toronto Maple Leafs,1994,21,19,0,0.00438,135,146,-11
Vancouver Canucks,1994,18,18,0,0.00375,153,148,5
Washington Capitals,1994,22,18,0,0.00458,136,120,16
Winnipeg Jets,1994,16,25,0,0.00333,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,0,0.0042699999999999995,234,247,-13
Boston Bruins,1995,40,31,0,0.00488,282,269,13
Buffalo Sabres,1995,33,42,0,0.00402,247,262,-15
Calgary Flames,1995,34,37,0,0.00415,241,240,1
Chicago Blackhawks,1995,40,28,0,0.00488,273,220,53
Colorado Avalanche,1995,47,25,0,0.00573,326,240,86
Dallas Stars,1995,26,42,0,0.00317,227,280,-53
Detroit Red Wings,1995,62,13,0,0.00756,325,181,144
Edmonton Oilers,1995,30,44,0,0.00366,240,304,-64
Florida Panthers,1995,41,31,0,0.005,254,234,20
Hartford Whalers,1995,34,39,0,0.00415,237,259,-22
Los Angeles Kings,1995,24,40,0,0.00293,256,302,-46
Montreal Canadiens,1995,40,32,0,0.00488,265,248,17
New Jersey Devils,1995,37,33,0,0.00451,215,202,13
New York Islanders,1995,22,50,0,0.00268,229,315,-86
New York Rangers,1995,41,27,0,0.005,272,237,35
Ottawa Senators,1995,18,59,0,0.0022,191,291,-100
Philadelphia Flyers,1995,45,24,0,0.00549,282,208,74
Pittsburgh Penguins,1995,49,29,0,0.00598,362,284,78
San Jose Sharks,1995,20,55,0,0.00244,252,357,-105
St. Louis Blues,1995,32,34,0,0.0039000000000000003,219,248,-29
Tampa Bay Lightning,1995,38,32,0,0.0046300000000000004,238,248,-10
Toronto Maple Leafs,1995,34,36,0,0.00415,247,252,-5
Vancouver Canucks,1995,32,35,0,0.0039000000000000003,278,278,0
Washington Capitals,1995,39,32,0,0.0047599999999999995,234,204,30
Winnipeg Jets,1995,36,40,0,0.00439,275,291,-16
Mighty Ducks of Anaheim,1996,36,33,0,0.00439,245,233,12
Boston Bruins,1996,26,47,0,0.00317,234,300,-66
Buffalo Sabres,1996,40,30,0,0.00488,237,208,29
Calgary Flames,1996,32,41,0,0.0039000000000000003,214,239,-25
Chicago Blackhawks,1996,34,35,0,0.00415,223,210,13
Colorado Avalanche,1996,49,24,0,0.00598,277,205,72
Dallas Stars,1996,48,26,0,0.005849999999999999,252,198,54
Detroit Red Wings,1996,38,26,0,0.0046300000000000004,253,197,56
Edmonton Oilers,1996,36,37,0,0.00439,252,247,5
Florida Panthers,1996,35,28,0,0.0042699999999999995,221,201,20
Hartford Whalers,1996,32,39,0,0.0039000000000000003,226,256,-30
Los Angeles Kings,1996,28,43,0,0.0034100000000000003,214,268,-54
Montreal Canadiens,1996,31,36,0,0.00378,249,276,-27
New Jersey Devils,1996,45,23,0,0.00549,231,182,49
New York Islanders,1996,29,41,0,0.0035399999999999997,240,250,-10
New York Rangers,1996,38,34,0,0.0046300000000000004,258,231,27
Ottawa Senators,1996,31,36,0,0.00378,226,234,-8
Philadelphia Flyers,1996,45,24,0,0.00549,274,217,57
Phoenix Coyotes,1996,38,37,0,0.0046300000000000004,240,243,-3
Pittsburgh Penguins,1996,38,36,0,0.0046300000000000004,285,280,5
San Jose Sharks,1996,27,47,0,0.00329,211,278,-67
St. Louis Blues,1996,36,35,0,0.00439,236,239,-3
Tampa Bay Lightning,1996,32,40,0,0.0039000000000000003,217,247,-30
Toronto Maple Leafs,1996,30,44,0,0.00366,230,273,-43
Vancouver Canucks,1996,35,40,0,0.0042699999999999995,257,273,-16
Washington Capitals,1996,33,40,0,0.00402,214,231,-17
Mighty Ducks of Anaheim,1997,26,43,0,0.00317,205,261,-56
Boston Bruins,1997,39,30,0,0.0047599999999999995,221,194,27
Buffalo Sabres,1997,36,29,0,0.00439,211,187,24
Calgary Flames,1997,26,41,0,0.00317,217,252,-35
Carolina Hurricanes,1997,33,41,0,0.00402,200,219,-19
Chicago Blackhawks,1997,30,39,0,0.00366,192,199,-7
Colorado Avalanche,1997,39,26,0,0.0047599999999999995,231,205,26
Dallas Stars,1997,49,22,0,0.00598,242,167,75
Detroit Red Wings,1997,44,23,0,0.005370000000000001,250,196,54
Edmonton Oilers,1997,35,37,0,0.0042699999999999995,215,224,-9
Florida Panthers,1997,24,43,0,0.00293,203,256,-53
Los Angeles Kings,1997,38,33,0,0.0046300000000000004,227,225,2
Montreal Canadiens,1997,37,32,0,0.00451,235,208,27
New Jersey Devils,1997,48,23,0,0.005849999999999999,225,166,59
New York Islanders,1997,30,41,0,0.00366,212,225,-13
New York Rangers,1997,25,39,0,0.0030499999999999998,197,231,-34
Ottawa Senators,1997,34,33,0,0.00415,193,200,-7
Philadelphia Flyers,1997,42,29,0,0.00512,242,193,49
Phoenix Coyotes,1997,35,35,0,0.0042699999999999995,224,227,-3
Pittsburgh Penguins,1997,40,24,0,0.00488,228,188,40
San Jose Sharks,1997,34,38,0,0.00415,210,216,-6
St. Louis Blues,1997,45,29,0,0.00549,256,204,52
Tampa Bay Lightning,1997,17,55,0,0.00207,151,269,-118
Toronto Maple Leafs,1997,30,43,0,0.00366,194,237,-43
Vancouver Canucks,1997,25,43,0,0.0030499999999999998,224,273,-49
Washington Capitals,1997,40,30,0,0.00488,219,202,17
Mighty Ducks of Anaheim,1998,35,34,0,0.0042699999999999995,215,206,9
Boston Bruins,1998,39,30,0,0.0047599999999999995,214,181,33
Buffalo Sabres,1998,37,28,0,0.00451,207,175,32
Calgary Flames,1998,30,40,0,0.00366,211,234,-23
Carolina Hurricanes,1998,34,30,0,0.00415,210,202,8
Chicago Blackhawks,1998,29,41,0,0.0035399999999999997,202,248,-46
Colorado Avalanche,1998,44,28,0,0.005370000000000001,239,205,34
Dallas Stars,1998,51,19,0,0.00622,236,168,68
Detroit Red Wings,1998,43,32,0,0.00524,245,202,43
Edmonton Oilers,1998,33,37,0,0.00402,230,226,4
Florida Panthers,1998,30,34,0,0.00366,210,228,-18
Los Angeles Kings,1998,32,45,0,0.0039000000000000003,189,222,-33
Montreal Canadiens,1998,32,39,0,0.0039000000000000003,184,209,-25
Nashville Predators,1998,28,47,0,0.0034100000000000003,190,261,-71
New Jersey Devils,1998,47,24,0,0.00573,248,196,52
New York Islanders,1998,24,48,0,0.00293,194,244,-50
New York Rangers,1998,33,38,0,0.00402,217,227,-10
Ottawa Senators,1998,44,23,0,0.005370000000000001,239,179,60
Philadelphia Flyers,1998,37,26,0,0.00451,231,196,35
Phoenix Coyotes,1998,39,31,0,0.0047599999999999995,205,197,8
Pittsburgh Penguins,1998,38,30,0,0.0046300000000000004,242,225,17
San Jose Sharks,1998,31,33,0,0.00378,196,191,5
St. Louis Blues,1998,37,32,0,0.00451,237,209,28
Tampa Bay Lightning,1998,19,54,0,0.00232,179,292,-113
